,Author,Editor,Paper,Affiliation,CompanyUniversity,Decision,Opinion
0,Juha Honkala,Patrick Cousot,Parallel Integer Sorting and Simulation Amongst CRCW Models.,UPC,University,Accepted,Nice to know.
1,George Rahonis,Patrick Cousot,Parallel Integer Sorting and Simulation Amongst CRCW Models.,Intel,Company,Denied,Nice to know.
2,Arnold Schönhage,Patrick Cousot,Parallel Integer Sorting and Simulation Amongst CRCW Models.,Intel,Company,Accepted,"Nice paper, but not too much interesting."
3,Hans Ulrich Simon,Patrick Cousot,Parallel Integer Sorting and Simulation Amongst CRCW Models.,UDL,University,Accepted,Too much boring.
4,Karel Culik II,Jürgen Nehmer,Pattern Matching in Trees and Nets.,UPC,University,Denied,"Nice paper, but not too much interesting."
5,Hans Ulrich Simon,Jürgen Nehmer,Pattern Matching in Trees and Nets.,Intel,Company,Denied,Really good.
6,Dana Angluin,Jürgen Nehmer,Pattern Matching in Trees and Nets.,UPC,University,Denied,"Nice paper, but not too much interesting."
7,Joachim Biskup,Jürgen Nehmer,Pattern Matching in Trees and Nets.,UPC,University,Accepted,Really good.
8,Oded Shmueli,Jürgen Nehmer,Pattern Matching in Trees and Nets.,Intel,Company,Accepted,Nice to know.
9,Nathan Goodman,Jürgen Nehmer,Pattern Matching in Trees and Nets.,Intel,Company,Denied,Nice to know.
10,Arnold Schönhage,Jürgen Nehmer,NP-complete Problems Simplified on Tree Schemas.,Microsoft,Company,Denied,"Nice paper, but not too much interesting."
11,Oded Shmueli,Jürgen Nehmer,NP-complete Problems Simplified on Tree Schemas.,Intel,Company,Accepted,Nice to know.
12,Norbert Blum,Jürgen Nehmer,NP-complete Problems Simplified on Tree Schemas.,Intel,Company,Accepted,Nice to know.
13,Arnold Schönhage,Jürgen Nehmer,NP-complete Problems Simplified on Tree Schemas.,Intel,Company,Accepted,Nice to know.
14,Nathan Goodman,Jürgen Nehmer,NP-complete Problems Simplified on Tree Schemas.,UPC,University,Accepted,"Nice paper, but not too much interesting."
15,Sanjeev Saxena,Jürgen Nehmer,NP-complete Problems Simplified on Tree Schemas.,Intel,Company,Denied,Nice to know.
16,Timothy A. Budd,Jürgen Nehmer,NP-complete Problems Simplified on Tree Schemas.,Intel,Company,Accepted,"Nice paper, but not too much interesting."
17,Simant Dube,Jürgen Nehmer,NP-complete Problems Simplified on Tree Schemas.,Intel,Company,Accepted,Too much boring.
18,Norbert Blum,Jürgen Nehmer,On the Power of Chain Rules in Context Free Grammars.,Microsoft,Company,Denied,Too much boring.
19,Nathan Goodman,Jürgen Nehmer,On the Power of Chain Rules in Context Free Grammars.,Microsoft,Company,Denied,"Nice paper, but not too much interesting."
20,Hans Ulrich Simon,Jürgen Nehmer,On the Power of Chain Rules in Context Free Grammars.,UDL,University,Accepted,Nice to know.
21,Antonella Santone,Jürgen Nehmer,On the Power of Chain Rules in Context Free Grammars.,UDL,University,Denied,Really good.
22,Arnold Schönhage,Jürgen Nehmer,On the Power of Chain Rules in Context Free Grammars.,Microsoft,Company,Accepted,Really good.
23,Symeon Bozapalidis,Jürgen Nehmer,On the Power of Chain Rules in Context Free Grammars.,Microsoft,Company,Accepted,Really good.
24,Jianwen Su,Isi Mitrani,Schnelle Multiplikation von Polynomen über Körpern der Charakteristik 2.,Intel,Company,Accepted,Really good.
25,Arnold Schönhage,Isi Mitrani,Schnelle Multiplikation von Polynomen über Körpern der Charakteristik 2.,UDL,University,Denied,Too much boring.
26,Simant Dube,Isi Mitrani,Schnelle Multiplikation von Polynomen über Körpern der Charakteristik 2.,Microsoft,Company,Denied,Nice to know.
27,Juha Honkala,Isi Mitrani,Schnelle Multiplikation von Polynomen über Körpern der Charakteristik 2.,Intel,Company,Accepted,"Nice paper, but not too much interesting."
28,Sanjeev Saxena,Isi Mitrani,Schnelle Multiplikation von Polynomen über Körpern der Charakteristik 2.,Microsoft,Company,Denied,Nice to know.
29,Rob J. van Glabbeek,Isi Mitrani,Schnelle Multiplikation von Polynomen über Körpern der Charakteristik 2.,UDL,University,Accepted,Too much boring.
30,Hans Ulrich Simon,Isi Mitrani,Schnelle Multiplikation von Polynomen über Körpern der Charakteristik 2.,UPC,University,Accepted,Really good.
31,Oded Shmueli,Isi Mitrani,Schnelle Multiplikation von Polynomen über Körpern der Charakteristik 2.,UDL,University,Accepted,Nice to know.
32,Roland Meyer,Jürgen Nehmer,A characterization of rational D0L power series.,Microsoft,Company,Denied,Nice to know.
33,Ernst-Rüdiger Olderog,Jürgen Nehmer,A characterization of rational D0L power series.,Intel,Company,Accepted,Too much boring.
34,Dana Angluin,Jürgen Nehmer,A characterization of rational D0L power series.,Intel,Company,Denied,Nice to know.
35,Norbert Blum,Jürgen Nehmer,A characterization of rational D0L power series.,Intel,Company,Accepted,Really good.
36,Joachim Biskup,Patrick Cousot,The Derivation of Systolic Implementations of Programs.,UPC,University,Accepted,Too much boring.
37,Roland Meyer,Patrick Cousot,The Derivation of Systolic Implementations of Programs.,UPC,University,Denied,Nice to know.
38,Sanjeev Saxena,Patrick Cousot,The Derivation of Systolic Implementations of Programs.,UDL,University,Denied,Nice to know.
39,Norbert Blum,Patrick Cousot,The Derivation of Systolic Implementations of Programs.,UPC,University,Accepted,Nice to know.
40,Hans Ulrich Simon,Joseph M. Morris,Fifo Nets Without Order Deadlock.,Intel,Company,Accepted,Really good.
41,Simant Dube,Joseph M. Morris,Fifo Nets Without Order Deadlock.,UDL,University,Denied,"Nice paper, but not too much interesting."
42,Annie Choquet,Joseph M. Morris,Fifo Nets Without Order Deadlock.,Microsoft,Company,Denied,Nice to know.
43,Carol Critchlow,Joseph M. Morris,Fifo Nets Without Order Deadlock.,Intel,Company,Accepted,Really good.
44,Juha Honkala,Joseph M. Morris,Fifo Nets Without Order Deadlock.,UPC,University,Accepted,"Nice paper, but not too much interesting."
45,Juha Honkala,Isi Mitrani,On the Complementation Rule for Multivalued Dependencies in Database Relations.,Microsoft,Company,Accepted,Nice to know.
46,Nathan Goodman,Isi Mitrani,On the Complementation Rule for Multivalued Dependencies in Database Relations.,UPC,University,Denied,Too much boring.
47,Hans Ulrich Simon,Isi Mitrani,Equational weighted tree transformations.,Microsoft,Company,Denied,"Nice paper, but not too much interesting."
48,Norbert Blum,Isi Mitrani,Equational weighted tree transformations.,Microsoft,Company,Denied,Really good.
49,Nathan Goodman,Isi Mitrani,Equational weighted tree transformations.,Microsoft,Company,Denied,Nice to know.
50,Juha Honkala,Isi Mitrani,Equational weighted tree transformations.,UPC,University,Denied,Too much boring.
51,Michael Evangelist,Isi Mitrani,Equational weighted tree transformations.,Microsoft,Company,Accepted,Really good.
52,David Pager,Isi Mitrani,Equational weighted tree transformations.,UDL,University,Accepted,Nice to know.
53,Norbert Blum,Isi Mitrani,Equational weighted tree transformations.,Intel,Company,Accepted,Really good.
54,Yijie Han,Isi Mitrani,Equational weighted tree transformations.,Microsoft,Company,Accepted,Nice to know.
55,Dana Angluin,Isi Mitrani,Equational weighted tree transformations.,Intel,Company,Accepted,"Nice paper, but not too much interesting."
56,Oded Shmueli,Isi Mitrani,Equational weighted tree transformations.,Microsoft,Company,Accepted,Really good.
57,Christian Lengauer,Isi Mitrani,Merged processes: a new condensed representation of Petri net behaviour.,UPC,University,Denied,Too much boring.
58,Hans Ulrich Simon,Isi Mitrani,Merged processes: a new condensed representation of Petri net behaviour.,UPC,University,Accepted,Too much boring.
59,Sanjeev Saxena,Isi Mitrani,Merged processes: a new condensed representation of Petri net behaviour.,UPC,University,Denied,Too much boring.
60,Dana Angluin,Isi Mitrani,Merged processes: a new condensed representation of Petri net behaviour.,Microsoft,Company,Denied,Nice to know.
61,Hans Ulrich Simon,Isi Mitrani,Verifying a simplification of mutual exclusion by Lycklama-Hadzilacos.,Intel,Company,Accepted,Too much boring.
62,Karel Culik II,Isi Mitrani,Verifying a simplification of mutual exclusion by Lycklama-Hadzilacos.,Microsoft,Company,Accepted,Really good.
63,Juha Honkala,Isi Mitrani,Verifying a simplification of mutual exclusion by Lycklama-Hadzilacos.,UDL,University,Denied,Nice to know.
64,Joachim Biskup,Isi Mitrani,Verifying a simplification of mutual exclusion by Lycklama-Hadzilacos.,Microsoft,Company,Denied,"Nice paper, but not too much interesting."
65,Arnold Schönhage,Isi Mitrani,A Three-Stage Construction for Multiconnection Networks.,UPC,University,Denied,"Nice paper, but not too much interesting."
66,Juha Honkala,Isi Mitrani,A Three-Stage Construction for Multiconnection Networks.,UDL,University,Accepted,Too much boring.
67,Hans Ulrich Simon,Isi Mitrani,A Three-Stage Construction for Multiconnection Networks.,Microsoft,Company,Accepted,Too much boring.
68,Timothy A. Budd,Patrick Cousot,The Expressive Power of Delay Operators in SCCS.,Intel,Company,Accepted,"Nice paper, but not too much interesting."
69,Prakash Panangaden,Patrick Cousot,The Expressive Power of Delay Operators in SCCS.,UPC,University,Denied,Really good.
70,Oded Shmueli,Patrick Cousot,The Expressive Power of Delay Operators in SCCS.,Intel,Company,Accepted,"Nice paper, but not too much interesting."
71,Dana Angluin,Patrick Cousot,The Expressive Power of Delay Operators in SCCS.,UPC,University,Denied,"Nice paper, but not too much interesting."
72,Oded Shmueli,Patrick Cousot,The Expressive Power of Delay Operators in SCCS.,UDL,University,Denied,Nice to know.
73,Arnold Schönhage,Patrick Cousot,The Expressive Power of Delay Operators in SCCS.,UPC,University,Denied,Really good.
74,Sanjeev Saxena,Patrick Cousot,Calculi for Interaction.,UDL,University,Accepted,Too much boring.
75,Hans Ulrich Simon,Patrick Cousot,Calculi for Interaction.,Microsoft,Company,Denied,Really good.
76,Hans Ulrich Simon,Patrick Cousot,Calculi for Interaction.,Microsoft,Company,Accepted,Too much boring.
77,Timothy A. Budd,Patrick Cousot,Calculi for Interaction.,Microsoft,Company,Denied,Nice to know.
78,Norbert Blum,Patrick Cousot,Calculi for Interaction.,UDL,University,Denied,Too much boring.
79,Arnold Schönhage,Patrick Cousot,Calculi for Interaction.,Microsoft,Company,Accepted,Too much boring.
80,Timothy A. Budd,Patrick Cousot,Calculi for Interaction.,Microsoft,Company,Denied,Too much boring.
81,Norbert Blum,Patrick Cousot,Calculi for Interaction.,UPC,University,Accepted,Too much boring.
82,Norbert Blum,Joseph M. Morris,A Synthesis of Several Sorting Algorithms.,Intel,Company,Denied,Really good.
83,Sanjeev Saxena,Joseph M. Morris,A Synthesis of Several Sorting Algorithms.,UDL,University,Denied,Really good.
84,Karel Culik II,Joseph M. Morris,A Synthesis of Several Sorting Algorithms.,Intel,Company,Accepted,"Nice paper, but not too much interesting."
85,Nathan Goodman,Joseph M. Morris,A Synthesis of Several Sorting Algorithms.,UDL,University,Denied,Really good.
86,Hans Ulrich Simon,Joseph M. Morris,A Synthesis of Several Sorting Algorithms.,UPC,University,Accepted,Too much boring.
87,Oded Shmueli,Joseph M. Morris,A Synthesis of Several Sorting Algorithms.,Microsoft,Company,Accepted,Too much boring.
88,Nathan Goodman,Joseph M. Morris,A Synthesis of Several Sorting Algorithms.,UPC,University,Denied,Too much boring.
89,Dana Angluin,Patrick Cousot,A Workload Model Representative of Static and Dynamic Characteristics.,Intel,Company,Accepted,Nice to know.
90,Nathan Goodman,Patrick Cousot,A Workload Model Representative of Static and Dynamic Characteristics.,UDL,University,Denied,Too much boring.
91,Hans Ulrich Simon,Patrick Cousot,A Workload Model Representative of Static and Dynamic Characteristics.,Microsoft,Company,Accepted,Too much boring.
92,Hans Ulrich Simon,Patrick Cousot,A Workload Model Representative of Static and Dynamic Characteristics.,UPC,University,Denied,"Nice paper, but not too much interesting."
93,Joachim Biskup,Patrick Cousot,A Workload Model Representative of Static and Dynamic Characteristics.,UDL,University,Denied,Nice to know.
94,Juha Honkala,Patrick Cousot,A Workload Model Representative of Static and Dynamic Characteristics.,Intel,Company,Denied,Too much boring.
95,Roland Meyer,Patrick Cousot,A Workload Model Representative of Static and Dynamic Characteristics.,Microsoft,Company,Denied,"Nice paper, but not too much interesting."
96,Juha Honkala,Joseph M. Morris,Gray visiting Motzkins.,Microsoft,Company,Denied,Nice to know.
97,Yijie Han,Joseph M. Morris,Gray visiting Motzkins.,UPC,University,Denied,Really good.
98,Arnold Schönhage,Joseph M. Morris,Gray visiting Motzkins.,UPC,University,Accepted,Too much boring.
99,Sanjeev Saxena,Joseph M. Morris,Gray visiting Motzkins.,UPC,University,Denied,"Nice paper, but not too much interesting."
100,Victor Mitrana,Joseph M. Morris,Trace- and failure-based semantics for responsiveness.,Microsoft,Company,Accepted,Nice to know.
101,Ivan Hal Sudborough,Joseph M. Morris,Trace- and failure-based semantics for responsiveness.,UDL,University,Denied,Nice to know.
102,Juha Honkala,Joseph M. Morris,Trace- and failure-based semantics for responsiveness.,Intel,Company,Denied,Really good.
103,Arnold Schönhage,Joseph M. Morris,Trace- and failure-based semantics for responsiveness.,UPC,University,Accepted,Really good.
104,Hans Ulrich Simon,Jürgen Nehmer,Branching Processes in the Analysis of the Heights of Trees.,UPC,University,Denied,"Nice paper, but not too much interesting."
105,Dana Angluin,Jürgen Nehmer,Branching Processes in the Analysis of the Heights of Trees.,Microsoft,Company,Accepted,Nice to know.
106,Oded Shmueli,Isi Mitrani,Least Upper Bound on the Cost of Optimum Binary Search Trees.,Intel,Company,Denied,"Nice paper, but not too much interesting."
107,Timothy A. Budd,Isi Mitrani,Least Upper Bound on the Cost of Optimum Binary Search Trees.,UDL,University,Accepted,Too much boring.
108,Oded Shmueli,Isi Mitrani,Least Upper Bound on the Cost of Optimum Binary Search Trees.,UDL,University,Denied,Nice to know.
109,Christian Lengauer,Isi Mitrani,Least Upper Bound on the Cost of Optimum Binary Search Trees.,UDL,University,Accepted,"Nice paper, but not too much interesting."
110,Sanjeev Saxena,Patrick Cousot,The Mathematical Analysis of the Computer System Modeled as a Two Stage Cyclic Queue.,Intel,Company,Accepted,Nice to know.
111,Yijie Han,Patrick Cousot,The Mathematical Analysis of the Computer System Modeled as a Two Stage Cyclic Queue.,Intel,Company,Accepted,Nice to know.
112,Juha Honkala,Patrick Cousot,The Mathematical Analysis of the Computer System Modeled as a Two Stage Cyclic Queue.,Microsoft,Company,Accepted,"Nice paper, but not too much interesting."
113,Oded Shmueli,Patrick Cousot,The Mathematical Analysis of the Computer System Modeled as a Two Stage Cyclic Queue.,Intel,Company,Denied,Nice to know.
114,Luc Devroye,Joseph M. Morris,"Invariants, Composition, and Substitution.",Microsoft,Company,Accepted,Really good.
115,Roland Meyer,Joseph M. Morris,"Invariants, Composition, and Substitution.",Intel,Company,Accepted,Too much boring.
116,Karel Culik II,Joseph M. Morris,"Invariants, Composition, and Substitution.",UDL,University,Accepted,Too much boring.
117,Norbert Blum,Patrick Cousot,Maximum Entropy and the ,UPC,University,Accepted,Really good.
118,Arnold Schönhage,Patrick Cousot,Maximum Entropy and the ,Intel,Company,Accepted,Too much boring.
119,Juha Honkala,Patrick Cousot,Maximum Entropy and the ,UPC,University,Accepted,"Nice paper, but not too much interesting."
120,Oded Shmueli,Patrick Cousot,Maximum Entropy and the ,Intel,Company,Denied,Too much boring.
121,Sanjeev Saxena,Jürgen Nehmer,Abstraction and Performance in the Design of Parallel Programs: An Overview of the SAT Approach.,Microsoft,Company,Denied,Nice to know.
122,Hans Ulrich Simon,Jürgen Nehmer,Abstraction and Performance in the Design of Parallel Programs: An Overview of the SAT Approach.,Intel,Company,Denied,"Nice paper, but not too much interesting."
123,Juha Honkala,Jürgen Nehmer,Abstraction and Performance in the Design of Parallel Programs: An Overview of the SAT Approach.,UPC,University,Accepted,Really good.
124,Nathan Goodman,Jürgen Nehmer,Abstraction and Performance in the Design of Parallel Programs: An Overview of the SAT Approach.,Microsoft,Company,Denied,Really good.
125,Juha Honkala,Isi Mitrani,A theory of structural stationarity in the ,Microsoft,Company,Accepted,Nice to know.
126,David Pager,Isi Mitrani,A theory of structural stationarity in the ,UDL,University,Denied,Really good.
127,John Darlington,Isi Mitrani,A theory of structural stationarity in the ,UPC,University,Denied,Really good.
128,Sanjeev Saxena,Isi Mitrani,A theory of structural stationarity in the ,UPC,University,Accepted,Really good.
129,Moon-Jung Chung,Isi Mitrani,A theory of structural stationarity in the ,Intel,Company,Denied,Nice to know.
130,Hans Ulrich Simon,Isi Mitrani,A theory of structural stationarity in the ,UDL,University,Denied,Too much boring.
131,Arnold Schönhage,Isi Mitrani,A theory of structural stationarity in the ,Intel,Company,Denied,Too much boring.
132,Nathan Goodman,Isi Mitrani,A theory of structural stationarity in the ,UDL,University,Denied,Too much boring.
133,Jianwen Su,Jürgen Nehmer,Hex ist PSPACE-vollständig.,Microsoft,Company,Accepted,"Nice paper, but not too much interesting."
134,Oded Shmueli,Jürgen Nehmer,Hex ist PSPACE-vollständig.,Microsoft,Company,Denied,"Nice paper, but not too much interesting."
135,Moon-Jung Chung,Jürgen Nehmer,Hex ist PSPACE-vollständig.,Intel,Company,Accepted,Nice to know.
136,Hans Ulrich Simon,Jürgen Nehmer,Hex ist PSPACE-vollständig.,Intel,Company,Accepted,Too much boring.
137,Juha Honkala,Jürgen Nehmer,Hex ist PSPACE-vollständig.,UPC,University,Denied,Really good.
138,Nathan Goodman,Jürgen Nehmer,Hex ist PSPACE-vollständig.,Intel,Company,Accepted,Really good.
139,Juha Honkala,Jürgen Nehmer,Hex ist PSPACE-vollständig.,Microsoft,Company,Accepted,Too much boring.
140,Norbert Blum,Jürgen Nehmer,Hex ist PSPACE-vollständig.,Microsoft,Company,Accepted,Really good.
141,Timothy A. Budd,Isi Mitrani,Evolutionary Systems: A Language Generating Device Inspired by Evolving Communities of Cells.,UPC,University,Denied,Really good.
142,Norbert Blum,Isi Mitrani,Evolutionary Systems: A Language Generating Device Inspired by Evolving Communities of Cells.,UPC,University,Denied,Too much boring.
143,Hans Ulrich Simon,Isi Mitrani,Evolutionary Systems: A Language Generating Device Inspired by Evolving Communities of Cells.,UPC,University,Denied,Nice to know.
144,Rob J. van Glabbeek,Patrick Cousot,Disjunctivity and other properties of sets of pseudo-bordered words.,Intel,Company,Denied,"Nice paper, but not too much interesting."
145,Sanjeev Saxena,Patrick Cousot,Disjunctivity and other properties of sets of pseudo-bordered words.,UPC,University,Denied,"Nice paper, but not too much interesting."
146,Erzsébet Csuhaj-Varjú,Patrick Cousot,Disjunctivity and other properties of sets of pseudo-bordered words.,UDL,University,Denied,Nice to know.
147,Gary T. Leavens,Isi Mitrani,Relational structures model of concurrency.,Intel,Company,Accepted,Nice to know.
148,Carlo Montangero,Isi Mitrani,Relational structures model of concurrency.,Intel,Company,Denied,Nice to know.
149,Norbert Blum,Isi Mitrani,Relational structures model of concurrency.,Intel,Company,Denied,Nice to know.
150,Walter J. Savitch,Isi Mitrani,Relational structures model of concurrency.,UPC,University,Denied,"Nice paper, but not too much interesting."
151,Oded Shmueli,Isi Mitrani,Relational structures model of concurrency.,UPC,University,Denied,Really good.
152,Sanjeev Saxena,Isi Mitrani,Relational structures model of concurrency.,Microsoft,Company,Denied,"Nice paper, but not too much interesting."
153,Sergei Gorlatch,Joseph M. Morris,On an Equivalence between Continuation and Stack Semantics.,Intel,Company,Accepted,Really good.
154,Manfred P. Stadel,Joseph M. Morris,On an Equivalence between Continuation and Stack Semantics.,Intel,Company,Denied,Nice to know.
155,Juha Honkala,Joseph M. Morris,On an Equivalence between Continuation and Stack Semantics.,Intel,Company,Denied,Really good.
156,Sanjeev Saxena,Joseph M. Morris,On an Equivalence between Continuation and Stack Semantics.,Intel,Company,Denied,"Nice paper, but not too much interesting."
157,Hans Ulrich Simon,Joseph M. Morris,On an Equivalence between Continuation and Stack Semantics.,Microsoft,Company,Accepted,Too much boring.
158,Juha Honkala,Isi Mitrani,Nonterminals Versus Homomorphisms in Defining Languages for Some Classes of Rewriting Systems.,UPC,University,Denied,Too much boring.
159,Sanjeev Saxena,Isi Mitrani,Nonterminals Versus Homomorphisms in Defining Languages for Some Classes of Rewriting Systems.,UDL,University,Denied,"Nice paper, but not too much interesting."
160,Norbert Blum,Isi Mitrani,Nonterminals Versus Homomorphisms in Defining Languages for Some Classes of Rewriting Systems.,Microsoft,Company,Accepted,Nice to know.
161,Sanjeev Saxena,Isi Mitrani,Nonterminals Versus Homomorphisms in Defining Languages for Some Classes of Rewriting Systems.,UPC,University,Denied,Too much boring.
162,Michael Evangelist,Isi Mitrani,Nonterminals Versus Homomorphisms in Defining Languages for Some Classes of Rewriting Systems.,UDL,University,Accepted,Nice to know.
163,Juha Honkala,Isi Mitrani,A Note on the Density of Inherently Ambiguous Context-free Languages.,UDL,University,Accepted,Really good.
164,Norbert Blum,Isi Mitrani,A Note on the Density of Inherently Ambiguous Context-free Languages.,Intel,Company,Accepted,Really good.
165,Oded Shmueli,Jürgen Nehmer,Time Lower Bounds for Parallel Sorting on a Mesh-Conected Processor Array.,UDL,University,Accepted,Too much boring.
166,Nathan Goodman,Jürgen Nehmer,Time Lower Bounds for Parallel Sorting on a Mesh-Conected Processor Array.,Microsoft,Company,Denied,"Nice paper, but not too much interesting."
167,Juha Honkala,Jürgen Nehmer,Time Lower Bounds for Parallel Sorting on a Mesh-Conected Processor Array.,Microsoft,Company,Accepted,Nice to know.
168,Joachim Biskup,Isi Mitrani,Computational Algorithms for Networks of Queues with Rejection Blocking.,Intel,Company,Denied,Too much boring.
169,Sanjeev Saxena,Isi Mitrani,Computational Algorithms for Networks of Queues with Rejection Blocking.,UPC,University,Denied,"Nice paper, but not too much interesting."
170,Karel Culik II,Joseph M. Morris,Compositional Refinements in Multiple Blackboard Systems.,UPC,University,Accepted,Too much boring.
171,Dana Angluin,Joseph M. Morris,Compositional Refinements in Multiple Blackboard Systems.,UPC,University,Denied,Nice to know.
172,Nathan Goodman,Joseph M. Morris,Compositional Refinements in Multiple Blackboard Systems.,UPC,University,Accepted,Really good.
173,Dana Angluin,Joseph M. Morris,Compositional Refinements in Multiple Blackboard Systems.,UDL,University,Accepted,Too much boring.
174,Nathan Goodman,Joseph M. Morris,"Special issue on ""Combining Compositionality and Concurrency"": part 1.",UDL,University,Accepted,Too much boring.
175,Annie Choquet,Joseph M. Morris,"Special issue on ""Combining Compositionality and Concurrency"": part 1.",Intel,Company,Accepted,"Nice paper, but not too much interesting."
176,Simant Dube,Joseph M. Morris,"Special issue on ""Combining Compositionality and Concurrency"": part 1.",UDL,University,Denied,"Nice paper, but not too much interesting."
177,Jianwen Su,Joseph M. Morris,"Special issue on ""Combining Compositionality and Concurrency"": part 1.",Microsoft,Company,Denied,Too much boring.
178,Hans Ulrich Simon,Joseph M. Morris,"Special issue on ""Combining Compositionality and Concurrency"": part 1.",UPC,University,Accepted,Too much boring.
179,Arnold Schönhage,Joseph M. Morris,"Special issue on ""Combining Compositionality and Concurrency"": part 1.",Intel,Company,Denied,"Nice paper, but not too much interesting."
180,Sanjeev Saxena,Joseph M. Morris,Automatic verification of concurrent systems using a formula-based compositional approach.,UPC,University,Accepted,Nice to know.
181,Norbert Blum,Joseph M. Morris,Automatic verification of concurrent systems using a formula-based compositional approach.,UPC,University,Denied,Nice to know.
182,Nathan Goodman,Joseph M. Morris,Automatic verification of concurrent systems using a formula-based compositional approach.,Intel,Company,Denied,Too much boring.
183,Oded Shmueli,Joseph M. Morris,Automatic verification of concurrent systems using a formula-based compositional approach.,Microsoft,Company,Denied,Really good.
184,Timothy A. Budd,Joseph M. Morris,Automatic verification of concurrent systems using a formula-based compositional approach.,Microsoft,Company,Denied,Nice to know.
185,Ursula Goltz,Joseph M. Morris,Automatic verification of concurrent systems using a formula-based compositional approach.,UDL,University,Accepted,Nice to know.
186,Sanjeev Saxena,Jürgen Nehmer,On Removing the Machine from the Language.,Microsoft,Company,Accepted,Nice to know.
187,Arnold Schönhage,Jürgen Nehmer,On Removing the Machine from the Language.,Microsoft,Company,Denied,"Nice paper, but not too much interesting."
188,Oded Shmueli,Jürgen Nehmer,Complete Problems for Space Bounded Subclasses of NP.,Microsoft,Company,Denied,Really good.
189,Michael Evangelist,Jürgen Nehmer,Complete Problems for Space Bounded Subclasses of NP.,Intel,Company,Accepted,Nice to know.
190,Zoltán Fülöp 0001,Patrick Cousot,Efficient controller synthesis for a fragment of MTL,UDL,University,Denied,"Nice paper, but not too much interesting."
191,X. J. Chen,Patrick Cousot,Efficient controller synthesis for a fragment of MTL,Intel,Company,Accepted,Nice to know.
192,Sanjeev Saxena,Patrick Cousot,Efficient controller synthesis for a fragment of MTL,UDL,University,Denied,Really good.
193,Hans Ulrich Simon,Patrick Cousot,Efficient controller synthesis for a fragment of MTL,Microsoft,Company,Denied,Nice to know.
194,Hans Ulrich Simon,Patrick Cousot,Efficient controller synthesis for a fragment of MTL,Microsoft,Company,Accepted,Nice to know.
195,David A. Watt,Patrick Cousot,Efficient controller synthesis for a fragment of MTL,Intel,Company,Denied,Really good.
196,Simant Dube,Patrick Cousot,Efficient controller synthesis for a fragment of MTL,Intel,Company,Accepted,Really good.
197,Yoshihide Igarashi,Jürgen Nehmer,Two Notions of Correctness and Their Relation to Testing.,UDL,University,Denied,Really good.
198,Sanjeev Saxena,Jürgen Nehmer,Two Notions of Correctness and Their Relation to Testing.,UPC,University,Denied,"Nice paper, but not too much interesting."
199,Juha Honkala,Jürgen Nehmer,Two Notions of Correctness and Their Relation to Testing.,UPC,University,Accepted,"Nice paper, but not too much interesting."
200,Nathan Goodman,Jürgen Nehmer,Two Notions of Correctness and Their Relation to Testing.,Microsoft,Company,Accepted,Too much boring.
